"","start.min","start.sec","common_name","confidence","ARU.ID","Date"
"275",48,39,"Western Tanager",0.95420902967453,"SMM01",2023-06-03
"276",48,42,"Western Tanager",0.725558936595917,"SMM01",2023-06-03
"277",48,48,"Western Tanager",0.942243576049805,"SMM01",2023-06-03
"278",48,51,"Western Tanager",0.960581362247467,"SMM01",2023-06-03
"279",48,54,"Western Tanager",0.891965389251709,"SMM01",2023-06-03
"280",49,0,"Western Tanager",0.886699497699738,"SMM01",2023-06-03
"281",49,6,"Western Tanager",0.921301424503326,"SMM01",2023-06-03
"282",49,12,"Western Tanager",0.447678327560425,"SMM01",2023-06-03
"283",49,18,"Western Tanager",0.415606826543808,"SMM01",2023-06-03
"284",49,39,"Western Tanager",0.441308528184891,"SMM01",2023-06-03
"285",49,45,"Western Tanager",0.645696461200714,"SMM01",2023-06-03
"286",49,51,"Western Tanager",0.436102509498596,"SMM01",2023-06-03
"287",50,0,"Western Tanager",0.877333283424377,"SMM01",2023-06-03
"288",50,3,"Western Tanager",0.764920175075531,"SMM01",2023-06-03
"289",50,6,"Western Tanager",0.507235109806061,"SMM01",2023-06-03
"290",50,9,"Western Tanager",0.560213088989258,"SMM01",2023-06-03
"291",50,15,"Western Tanager",0.875873446464539,"SMM01",2023-06-03
"292",50,18,"Western Tanager",0.686233043670654,"SMM01",2023-06-03
"293",50,21,"Western Tanager",0.90071052312851,"SMM01",2023-06-03
"294",50,27,"Western Tanager",0.908444046974182,"SMM01",2023-06-03
"295",50,30,"Western Tanager",0.494488924741745,"SMM01",2023-06-03
"296",50,33,"Western Tanager",0.829119205474854,"SMM01",2023-06-03
"297",50,39,"Western Tanager",0.823089480400085,"SMM01",2023-06-03
"298",50,42,"Western Tanager",0.687003433704376,"SMM01",2023-06-03
"299",50,45,"Western Tanager",0.916743099689484,"SMM01",2023-06-03
"300",50,48,"Western Tanager",0.945123255252838,"SMM01",2023-06-03
"301",51,12,"Western Tanager",0.810588896274567,"SMM01",2023-06-03
"302",51,15,"Western Tanager",0.790742099285126,"SMM01",2023-06-03
"303",51,18,"Western Tanager",0.827561795711517,"SMM01",2023-06-03
"304",51,24,"Western Tanager",0.585894167423248,"SMM01",2023-06-03
"305",51,27,"Western Tanager",0.894774615764618,"SMM01",2023-06-03
"306",51,33,"Western Tanager",0.69932234287262,"SMM01",2023-06-03
"307",51,39,"Western Tanager",0.668019235134125,"SMM01",2023-06-03
"308",51,42,"Western Tanager",0.9241082072258,"SMM01",2023-06-03
"309",51,45,"Western Tanager",0.575922846794128,"SMM01",2023-06-03
"310",51,51,"Western Tanager",0.859203994274139,"SMM01",2023-06-03
"311",52,0,"Western Tanager",0.802186667919159,"SMM01",2023-06-03
"312",52,3,"Western Tanager",0.934894263744354,"SMM01",2023-06-03
"313",52,9,"Western Tanager",0.973240971565247,"SMM01",2023-06-03
"314",52,15,"Western Tanager",0.511479735374451,"SMM01",2023-06-03
"315",52,18,"Western Tanager",0.991080343723297,"SMM01",2023-06-03
"316",52,24,"Western Tanager",0.559572875499725,"SMM01",2023-06-03
"317",52,27,"Western Tanager",0.7872034907341,"SMM01",2023-06-03
"318",52,30,"Western Tanager",0.950669705867767,"SMM01",2023-06-03
"319",52,36,"Western Tanager",0.954750835895538,"SMM01",2023-06-03
"320",52,39,"Western Tanager",0.754306674003601,"SMM01",2023-06-03
"321",52,42,"Western Tanager",0.658015787601471,"SMM01",2023-06-03
"322",52,45,"Western Tanager",0.916598558425903,"SMM01",2023-06-03
"323",52,51,"Western Tanager",0.920785903930664,"SMM01",2023-06-03
"324",52,57,"Western Tanager",0.426377803087234,"SMM01",2023-06-03
"325",53,3,"Western Tanager",0.329219281673431,"SMM01",2023-06-03
"326",53,15,"Western Tanager",0.463449478149414,"SMM01",2023-06-03
"327",53,33,"Hammond's Flycatcher",0.557002067565918,"SMM01",2023-06-03
"328",54,9,"Hammond's Flycatcher",0.577711760997772,"SMM01",2023-06-03
"329",57,3,"Mountain Chickadee",0.4009810090065,"SMM01",2023-06-03
"330",57,33,"Western Tanager",0.424968838691711,"SMM01",2023-06-03
"331",57,36,"Western Tanager",0.581046998500824,"SMM01",2023-06-03
"332",57,51,"Warbling Vireo",0.597671389579773,"SMM01",2023-06-03
"333",58,48,"Cassin's Finch",0.441805094480515,"SMM01",2023-06-03
"334",59,9,"Cassin's Finch",0.30839729309082,"SMM01",2023-06-03
"335",0,0,"American Robin",0.466745615005493,"SMM01",2023-06-04
"336",2,48,"American Robin",0.336735486984253,"SMM01",2023-06-04
"337",2,54,"American Robin",0.657904148101807,"SMM01",2023-06-04
"338",3,24,"American Robin",0.50985199213028,"SMM01",2023-06-04
"339",3,36,"American Robin",0.502099573612213,"SMM01",2023-06-04
"340",3,42,"American Robin",0.307013422250748,"SMM01",2023-06-04
"341",4,0,"American Robin",0.42852920293808,"SMM01",2023-06-04
"342",4,27,"American Robin",0.31879448890686,"SMM01",2023-06-04
"343",4,42,"Mountain Chickadee",0.452583312988281,"SMM01",2023-06-04
"344",5,33,"Mountain Chickadee",0.354473739862442,"SMM01",2023-06-04
"345",11,18,"House Wren",0.320290952920914,"SMM01",2023-06-04
"346",14,39,"Hammond's Flycatcher",0.452960193157196,"SMM01",2023-06-04
"347",15,48,"Hammond's Flycatcher",0.723263680934906,"SMM01",2023-06-04
"348",16,48,"Hammond's Flycatcher",0.363030672073364,"SMM01",2023-06-04
"349",17,24,"Hammond's Flycatcher",0.674579262733459,"SMM01",2023-06-04
"350",24,24,"Western Tanager",0.630311727523804,"SMM01",2023-06-04
"351",24,36,"Western Tanager",0.348839968442917,"SMM01",2023-06-04
"352",24,45,"Western Tanager",0.356347680091858,"SMM01",2023-06-04
"353",24,48,"Western Tanager",0.718035995960236,"SMM01",2023-06-04
"354",24,51,"Western Tanager",0.325258314609528,"SMM01",2023-06-04
"355",25,0,"Western Tanager",0.509720027446747,"SMM01",2023-06-04
"356",25,6,"Western Tanager",0.729634761810303,"SMM01",2023-06-04
"357",25,18,"Western Tanager",0.535958468914032,"SMM01",2023-06-04
"358",25,24,"Western Tanager",0.68125581741333,"SMM01",2023-06-04
"359",25,27,"Western Tanager",0.612832367420197,"SMM01",2023-06-04
"360",30,15,"Northern Flicker",0.342039316892624,"SMM01",2023-06-04
