"","rowid","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"168",168,"Warbling Vireo",0.365083992481232,"SMM05",20230626,19,9,1149,NA
"169",169,"Warbling Vireo",0.469435423612595,"SMM05",20230626,26,36,1596,NA
"170",170,"Warbling Vireo",0.66546905040741,"SMM05",20230626,30,0,1800,NA
"171",171,"Warbling Vireo",0.587465107440948,"SMM07",20230601,44,30,2670,NA
"172",172,"Warbling Vireo",0.731654584407806,"SMM08",20230601,30,18,1818,NA
"173",173,"Warbling Vireo",0.448926150798798,"SMM08",20230601,36,3,2163,NA
"174",174,"Warbling Vireo",0.478986978530884,"SMM08",20230601,40,9,2409,NA
"175",175,"Warbling Vireo",0.364946365356445,"SMM08",20230601,55,24,3324,NA
"176",176,"Warbling Vireo",0.584337830543518,"SMM11",20230612,42,0,2520,NA
"177",177,"Warbling Vireo",0.488539040088654,"SMM11",20230613,14,21,861,NA
"178",178,"Warbling Vireo",0.479724049568176,"SMM11",20230614,7,36,456,NA
"179",179,"Warbling Vireo",0.385708570480347,"SMM11",20230614,8,21,501,NA
"180",180,"Warbling Vireo",0.523447632789612,"SMM11",20230614,11,27,687,NA
"181",181,"Warbling Vireo",0.355989098548889,"SMM11",20230616,30,42,1842,NA
"182",182,"Warbling Vireo",0.339438796043396,"SMM11",20230626,40,12,2412,NA
"183",183,"Warbling Vireo",0.548240661621094,"SMM14",20230602,41,21,2481,NA
"184",184,"Warbling Vireo",0.340048640966415,"SMM14",20230603,7,48,468,NA
"185",185,"Warbling Vireo",0.374560117721558,"SMM14",20230604,24,45,1485,NA
"186",186,"Warbling Vireo",0.44513800740242,"SMM14",20230604,25,33,1533,NA
"187",187,"Warbling Vireo",0.396491169929504,"SMM14",20230606,57,33,3453,NA
"188",188,"Warbling Vireo",0.40957847237587,"SMM14",20230607,28,12,1692,NA
"189",189,"Warbling Vireo",0.327858626842499,"SMM14",20230607,34,0,2040,NA
"190",190,"Warbling Vireo",0.711748600006104,"SMM14",20230608,26,21,1581,NA
"191",191,"Warbling Vireo",0.330919176340103,"SMM14",20230609,28,0,1680,NA
"192",192,"Warbling Vireo",0.302082985639572,"SMM14",20230609,32,30,1950,NA
"193",193,"Warbling Vireo",0.501283228397369,"SMM14",20230610,44,57,2697,NA
"194",194,"Warbling Vireo",0.668134033679962,"SMM14",20230610,53,3,3183,NA
"195",195,"Warbling Vireo",0.30651444196701,"SMM14",20230613,41,15,2475,NA
"196",196,"Warbling Vireo",0.334708243608475,"SMM14",20230617,33,30,2010,NA
"197",197,"Warbling Vireo",0.547706186771393,"SMM14",20230617,57,6,3426,NA
"198",198,"Warbling Vireo",0.311633288860321,"SMM14",20230618,43,18,2598,NA
"199",199,"Warbling Vireo",0.305854856967926,"SMM14",20230624,35,12,2112,NA
"200",200,"Warbling Vireo",0.300767928361893,"SMM14",20230626,39,0,2340,NA
