"","Species","confidence","ARU.ID","Date","start.min","start.sec","True.Positive"
"192","Black-headed Grosbeak",0.678077638149261,"SMM16","2023-06-09",52,33,NA
"193","Black-headed Grosbeak",0.872798442840576,"SMM16","2023-06-13",29,39,NA
"194","Black-headed Grosbeak",0.443755090236664,"SMM16","2023-06-13",30,24,NA
"195","Black-headed Grosbeak",0.499695956707001,"SMM16","2023-06-13",37,24,NA
"196","Black-headed Grosbeak",0.544294893741608,"SMM16","2023-06-13",37,33,NA
"197","Black-headed Grosbeak",0.448502510786057,"SMM16","2023-06-13",45,18,NA
"198","Black-headed Grosbeak",0.5505091547966,"SMM16","2023-06-14",40,54,NA
"199","Black-headed Grosbeak",0.573114275932312,"SMM16","2023-06-15",50,12,NA
"200","Black-headed Grosbeak",0.531450510025024,"SMM16","2023-06-15",51,57,NA
"201","Hammond's Flycatcher",0.540968120098114,"SMM01","2023-06-01",34,0,NA
"202","Hammond's Flycatcher",0.811838686466217,"SMM01","2023-06-01",39,30,NA
"203","Hammond's Flycatcher",0.852728307247162,"SMM01","2023-06-02",26,18,NA
"204","Hammond's Flycatcher",0.577248215675354,"SMM01","2023-06-02",28,21,NA
"205","Hammond's Flycatcher",0.423788636922836,"SMM01","2023-06-02",32,9,NA
"206","Hammond's Flycatcher",0.334368675947189,"SMM01","2023-06-02",32,21,NA
"207","Hammond's Flycatcher",0.720853984355927,"SMM01","2023-06-02",34,48,NA
"208","Hammond's Flycatcher",0.473269909620285,"SMM01","2023-06-02",37,9,NA
"209","Hammond's Flycatcher",0.785477101802826,"SMM01","2023-06-03",20,30,NA
"210","Hammond's Flycatcher",0.363946855068207,"SMM01","2023-06-03",22,33,NA
"211","Hammond's Flycatcher",0.640035808086395,"SMM01","2023-06-03",47,6,NA
"212","Hammond's Flycatcher",0.738231182098389,"SMM01","2023-06-04",48,48,NA
"213","Hammond's Flycatcher",0.311381101608276,"SMM01","2023-06-04",50,0,NA
"214","Hammond's Flycatcher",0.810868740081787,"SMM01","2023-06-04",50,15,NA
"215","Hammond's Flycatcher",0.522995054721832,"SMM01","2023-06-04",50,51,NA
"216","Hammond's Flycatcher",0.422679334878922,"SMM01","2023-06-04",52,30,NA
"217","Hammond's Flycatcher",0.765185594558716,"SMM01","2023-06-04",54,30,NA
"218","Hammond's Flycatcher",0.643664240837097,"SMM01","2023-06-05",7,12,NA
"219","Hammond's Flycatcher",0.45136433839798,"SMM01","2023-06-05",33,36,NA
"220","Hammond's Flycatcher",0.872304618358612,"SMM01","2023-06-13",46,42,NA
"221","Hammond's Flycatcher",0.358361393213272,"SMM01","2023-06-13",46,45,NA
"222","Hammond's Flycatcher",0.378336369991302,"SMM01","2023-06-13",49,12,NA
"223","Hammond's Flycatcher",0.597499549388885,"SMM01","2023-06-13",50,36,NA
"224","Hammond's Flycatcher",0.846383810043335,"SMM01","2023-06-17",44,18,NA
"225","Hammond's Flycatcher",0.607086539268494,"SMM01","2023-06-17",45,27,NA
"226","Hammond's Flycatcher",0.385377645492554,"SMM01","2023-06-17",46,57,NA
"227","Hammond's Flycatcher",0.56359189748764,"SMM01","2023-06-21",45,42,NA
"228","Hammond's Flycatcher",0.73493093252182,"SMM01","2023-06-23",46,3,NA
"229","Hammond's Flycatcher",0.390596121549606,"SMM01","2023-06-25",56,3,NA
"230","Hammond's Flycatcher",0.490852355957031,"SMM02","2023-06-01",28,30,NA
"231","Hammond's Flycatcher",0.719724118709564,"SMM02","2023-06-01",32,42,NA
"232","Hammond's Flycatcher",0.729640483856201,"SMM02","2023-06-01",33,42,NA
"233","Hammond's Flycatcher",0.842175841331482,"SMM02","2023-06-01",33,51,NA
"234","Hammond's Flycatcher",0.558769166469574,"SMM02","2023-06-01",34,36,NA
"235","Hammond's Flycatcher",0.446404814720154,"SMM02","2023-06-01",34,42,NA
"236","Hammond's Flycatcher",0.840365052223206,"SMM02","2023-06-01",34,57,NA
"237","Hammond's Flycatcher",0.588817775249481,"SMM02","2023-06-01",39,45,NA
"238","Hammond's Flycatcher",0.787915766239166,"SMM02","2023-06-01",53,21,NA
"239","Hammond's Flycatcher",0.633647739887238,"SMM02","2023-06-01",54,21,NA
"240","Hammond's Flycatcher",0.91925436258316,"SMM02","2023-06-02",24,12,NA
"241","Hammond's Flycatcher",0.548933684825897,"SMM02","2023-06-02",26,33,NA
"242","Hammond's Flycatcher",0.605602443218231,"SMM02","2023-06-02",32,51,NA
"243","Hammond's Flycatcher",0.890758216381073,"SMM02","2023-06-03",17,54,NA
"244","Hammond's Flycatcher",0.381922632455826,"SMM02","2023-06-03",20,36,NA
"245","Hammond's Flycatcher",0.368723213672638,"SMM02","2023-06-04",17,24,NA
"246","Hammond's Flycatcher",0.975080847740173,"SMM02","2023-06-04",48,42,NA
"247","Hammond's Flycatcher",0.758387386798859,"SMM02","2023-06-05",41,57,NA
"248","Hammond's Flycatcher",0.780174195766449,"SMM02","2023-06-07",19,42,NA
"249","Hammond's Flycatcher",0.372699677944183,"SMM02","2023-06-07",21,57,NA
"250","Hammond's Flycatcher",0.367209941148758,"SMM02","2023-06-08",48,45,NA
"251","Hammond's Flycatcher",0.446201115846634,"SMM02","2023-06-08",49,39,NA
"252","Hammond's Flycatcher",0.417327612638474,"SMM02","2023-06-08",50,42,NA
"253","Hammond's Flycatcher",0.358277410268784,"SMM02","2023-06-10",29,15,NA
"254","Hammond's Flycatcher",0.588905572891235,"SMM02","2023-06-11",39,15,NA
"255","Hammond's Flycatcher",0.556756436824799,"SMM02","2023-06-12",40,9,NA
"256","Hammond's Flycatcher",0.835500001907349,"SMM02","2023-06-12",40,48,NA
"257","Hammond's Flycatcher",0.791403412818909,"SMM02","2023-06-12",40,51,NA
"258","Hammond's Flycatcher",0.482550024986267,"SMM02","2023-06-12",56,15,NA
"259","Hammond's Flycatcher",0.328453809022903,"SMM02","2023-06-13",51,18,NA
"260","Hammond's Flycatcher",0.700385868549347,"SMM02","2023-06-13",51,51,NA
"261","Hammond's Flycatcher",0.538052439689636,"SMM02","2023-06-14",56,0,NA
"262","Hammond's Flycatcher",0.731131255626678,"SMM02","2023-06-14",56,6,NA
"263","Hammond's Flycatcher",0.314529120922089,"SMM02","2023-06-14",56,42,NA
"264","Hammond's Flycatcher",0.393539369106293,"SMM02","2023-06-17",44,48,NA
"265","Hammond's Flycatcher",0.387827008962631,"SMM02","2023-06-17",46,3,NA
