"","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File"
"175","67000","UF3-9",2024-05-21,6,4,54,"Hooded Warbler",0.155408754944801,"20240521_060400-216849644.flac"
"176","67000","UF3-9",2024-05-21,7,0,33,"Hooded Warbler",0.157198011875153,"20240521_070000-216849701.flac"
"177","67000","UF3-9",2024-05-21,7,1,24,"Hooded Warbler",0.15523499250412,"20240521_070100-216849702.flac"
"178","67000","UF3-9",2024-05-21,7,3,24,"Hooded Warbler",0.16503643989563,"20240521_070300-216849704.flac"
"179","67000","UF3-9",2024-05-21,7,3,33,"Hooded Warbler",0.180660590529442,"20240521_070300-216849704.flac"
"180","67000","UF3-9",2024-05-21,7,4,27,"Hooded Warbler",0.150193765759468,"20240521_070400-216849705.flac"
"181","67000","UF3-9",2024-05-22,6,1,33,"Hooded Warbler",0.242781728506088,"20240522_060100-216849854.flac"
"182","67000","UF3-9",2024-05-22,6,3,42,"Hooded Warbler",0.16971829533577,"20240522_060300-216849856.flac"
"183","67000","UF3-9",2024-05-22,6,4,9,"Hooded Warbler",0.202344417572021,"20240522_060400-216849857.flac"
"184","67000","UF3-9",2024-05-22,7,0,36,"Hooded Warbler",0.184378147125244,"20240522_070000-216849923.flac"
"185","67000","UF3-9",2024-05-22,7,1,12,"Hooded Warbler",0.226767137646675,"20240522_070100-216849924.flac"
"186","67000","UF3-9",2024-05-23,6,4,45,"Hooded Warbler",0.15297619998455,"20240523_060400-216849665.flac"
"187","67000","UF3-9",2024-05-25,6,2,15,"Hooded Warbler",0.167650789022446,"20240525_060200-216849788.flac"
"188","67000","UF3-9",2024-05-25,6,3,0,"Hooded Warbler",0.159562736749649,"20240525_060300-216849789.flac"
"189","67000","UF3-9",2024-05-25,6,3,39,"Hooded Warbler",0.217688232660294,"20240525_060300-216849789.flac"
"190","67000","UF3-9",2024-05-25,6,4,9,"Hooded Warbler",0.152871876955032,"20240525_060400-216849790.flac"
"191","67000","UF3-9",2024-05-25,6,4,15,"Hooded Warbler",0.299073964357376,"20240525_060400-216849790.flac"
"192","67000","UF3-9",2024-05-25,7,0,3,"Hooded Warbler",0.172543898224831,"20240525_070000-216849656.flac"
"193","67000","UF3-9",2024-05-25,7,0,6,"Hooded Warbler",0.177250877022743,"20240525_070000-216849656.flac"
"194","67000","UF3-9",2024-05-25,7,3,30,"Hooded Warbler",0.248632088303566,"20240525_070300-216849659.flac"
"195","67000","UF3-9",2024-05-25,7,4,24,"Hooded Warbler",0.158732995390892,"20240525_070400-216849660.flac"
"196","67000","UF3-9",2024-05-26,6,2,3,"Hooded Warbler",0.153197035193443,"20240526_060200-216849895.flac"
"197","67000","UF3-9",2024-05-26,6,2,45,"Hooded Warbler",0.169348075985909,"20240526_060200-216849895.flac"
"198","67000","UF3-9",2024-05-26,6,3,39,"Hooded Warbler",0.150707334280014,"20240526_060300-216849896.flac"
"199","67000","UF3-9",2024-05-26,6,3,42,"Hooded Warbler",0.15361613035202,"20240526_060300-216849896.flac"
"200","67000","UF3-9",2024-05-28,6,0,24,"Hooded Warbler",0.168010234832764,"20240528_060000-216849666.flac"
"201","67000","UF3-9",2024-05-29,6,2,30,"Hooded Warbler",0.178667575120926,"20240529_060200-216849753.flac"
