"","start.min","start.sec","common_name","confidence","ARU.ID","ARU.Name","Date"
"131",0,36,"Hooded Warbler",0.0518284551799297,"66998","UF3-1",2024-05-17
"132",0,39,"Kentucky Warbler",0.164619311690331,"66998","UF3-1",2024-05-17
"133",0,39,"Worm-eating Warbler",0.133446037769318,"66998","UF3-1",2024-05-17
"134",0,39,"Acadian Flycatcher",0.0843607783317566,"66998","UF3-1",2024-05-17
"135",0,39,"Hooded Warbler",0.0690506175160408,"66998","UF3-1",2024-05-17
"136",0,39,"Swainson's Warbler",0.061285275965929,"66998","UF3-1",2024-05-17
"137",0,42,"Kentucky Warbler",0.286984115839005,"66998","UF3-1",2024-05-17
"138",0,42,"Swainson's Warbler",0.193065151572227,"66998","UF3-1",2024-05-17
"139",0,42,"Prothonotary Warbler",0.145578309893608,"66998","UF3-1",2024-05-17
"140",0,42,"Acadian Flycatcher",0.130897551774979,"66998","UF3-1",2024-05-17
"141",0,42,"Worm-eating Warbler",0.0880003347992897,"66998","UF3-1",2024-05-17
"142",0,42,"Yellow-throated Warbler",0.0758971646428108,"66998","UF3-1",2024-05-17
"143",0,42,"Hooded Warbler",0.0546926371753216,"66998","UF3-1",2024-05-17
"144",0,45,"Prothonotary Warbler",0.0646032765507698,"66998","UF3-1",2024-05-17
"145",0,45,"Kentucky Warbler",0.0609462037682533,"66998","UF3-1",2024-05-17
"146",0,48,"Scarlet Tanager",0.0922335982322693,"66998","UF3-1",2024-05-17
"147",0,48,"Great Crested Flycatcher",0.0844835340976715,"66998","UF3-1",2024-05-17
"148",0,48,"Kentucky Warbler",0.0642320811748505,"66998","UF3-1",2024-05-17
"149",0,51,"Kentucky Warbler",0.23031210899353,"66998","UF3-1",2024-05-17
"150",0,51,"Worm-eating Warbler",0.226084187626839,"66998","UF3-1",2024-05-17
"151",0,51,"Prothonotary Warbler",0.0893287062644958,"66998","UF3-1",2024-05-17
"152",0,51,"Yellow-throated Warbler",0.0840576365590096,"66998","UF3-1",2024-05-17
"153",0,51,"Swainson's Warbler",0.0822378695011139,"66998","UF3-1",2024-05-17
"154",0,51,"Ovenbird",0.0795940831303596,"66998","UF3-1",2024-05-17
"155",0,51,"Acadian Flycatcher",0.0709747076034546,"66998","UF3-1",2024-05-17
"156",0,54,"Worm-eating Warbler",0.148675665259361,"66998","UF3-1",2024-05-17
"157",0,54,"Kentucky Warbler",0.108130738139153,"66998","UF3-1",2024-05-17
"158",0,54,"Swainson's Warbler",0.0742005258798599,"66998","UF3-1",2024-05-17
"159",0,54,"Prothonotary Warbler",0.0740738064050674,"66998","UF3-1",2024-05-17
"160",0,54,"Acadian Flycatcher",0.0645159035921097,"66998","UF3-1",2024-05-17
"161",0,57,"Worm-eating Warbler",0.153963580727577,"66998","UF3-1",2024-05-17
"162",0,57,"Kentucky Warbler",0.152445524930954,"66998","UF3-1",2024-05-17
"163",0,57,"Scarlet Tanager",0.129024982452393,"66998","UF3-1",2024-05-17
"164",0,0,"Kentucky Warbler",0.0588226467370987,"66998","UF3-1",2024-05-17
"165",0,0,"Prothonotary Warbler",0.0586131773889065,"66998","UF3-1",2024-05-17
"166",0,3,"Wood Thrush",0.0617522113025188,"66998","UF3-1",2024-05-17
"167",0,3,"Scarlet Tanager",0.0604555979371071,"66998","UF3-1",2024-05-17
"168",0,6,"Worm-eating Warbler",0.144929721951485,"66998","UF3-1",2024-05-17
"169",0,6,"Yellow-throated Warbler",0.103457152843475,"66998","UF3-1",2024-05-17
"170",0,6,"Barred Owl",0.097578190267086,"66998","UF3-1",2024-05-17
"171",0,6,"Kentucky Warbler",0.0895189866423607,"66998","UF3-1",2024-05-17
"172",0,6,"Prothonotary Warbler",0.0594820454716682,"66998","UF3-1",2024-05-17
"173",0,6,"Swainson's Warbler",0.058963917195797,"66998","UF3-1",2024-05-17
"174",0,9,"Worm-eating Warbler",0.180196911096573,"66998","UF3-1",2024-05-17
"175",0,9,"Ovenbird",0.0922353714704514,"66998","UF3-1",2024-05-17
"176",0,12,"Kentucky Warbler",0.231478944420815,"66998","UF3-1",2024-05-17
"177",0,12,"Acadian Flycatcher",0.108126692473888,"66998","UF3-1",2024-05-17
"178",0,12,"Swainson's Warbler",0.0977262780070305,"66998","UF3-1",2024-05-17
"179",0,12,"Prothonotary Warbler",0.0785969644784927,"66998","UF3-1",2024-05-17
"180",0,12,"Worm-eating Warbler",0.0700631961226463,"66998","UF3-1",2024-05-17
"181",0,12,"Yellow-throated Warbler",0.0624911934137344,"66998","UF3-1",2024-05-17
"182",0,18,"Kentucky Warbler",0.069866769015789,"66998","UF3-1",2024-05-17
"183",0,18,"Worm-eating Warbler",0.0513700060546398,"66998","UF3-1",2024-05-17
"184",0,21,"Kentucky Warbler",0.110320925712585,"66998","UF3-1",2024-05-17
"185",0,21,"Worm-eating Warbler",0.0595639683306217,"66998","UF3-1",2024-05-17
"186",0,21,"Wood Thrush",0.0516563914716244,"66998","UF3-1",2024-05-17
"187",0,24,"Kentucky Warbler",0.118231274187565,"66998","UF3-1",2024-05-17
"188",0,24,"Scarlet Tanager",0.0755992531776428,"66998","UF3-1",2024-05-17
"189",0,24,"Worm-eating Warbler",0.0718907937407494,"66998","UF3-1",2024-05-17
"190",0,24,"Prothonotary Warbler",0.0500636622309685,"66998","UF3-1",2024-05-17
"191",0,27,"Worm-eating Warbler",0.184593826532364,"66998","UF3-1",2024-05-17
"192",0,27,"Kentucky Warbler",0.0685895532369614,"66998","UF3-1",2024-05-17
"193",0,30,"Worm-eating Warbler",0.165754973888397,"66998","UF3-1",2024-05-17
"194",0,30,"Yellow-throated Warbler",0.14036725461483,"66998","UF3-1",2024-05-17
"195",0,30,"Prothonotary Warbler",0.103113122284412,"66998","UF3-1",2024-05-17
"196",0,30,"Kentucky Warbler",0.0950933843851089,"66998","UF3-1",2024-05-17
"197",0,30,"Swainson's Warbler",0.0930368229746819,"66998","UF3-1",2024-05-17
"198",0,30,"Hooded Warbler",0.0674108862876892,"66998","UF3-1",2024-05-17
"199",0,30,"Tufted Titmouse",0.0638254657387733,"66998","UF3-1",2024-05-17
"200",0,30,"Northern Parula",0.0504611618816853,"66998","UF3-1",2024-05-17
"201",0,30,"Acadian Flycatcher",0.0500935167074203,"66998","UF3-1",2024-05-17
"202",0,33,"Kentucky Warbler",0.129770815372467,"66998","UF3-1",2024-05-17
"203",0,33,"Worm-eating Warbler",0.108298748731613,"66998","UF3-1",2024-05-17
"204",0,33,"Prothonotary Warbler",0.0802988260984421,"66998","UF3-1",2024-05-17
"205",0,33,"Acadian Flycatcher",0.072848342359066,"66998","UF3-1",2024-05-17
"206",0,33,"Swainson's Warbler",0.065324604511261,"66998","UF3-1",2024-05-17
"207",0,33,"Tufted Titmouse",0.062727615237236,"66998","UF3-1",2024-05-17
"208",0,33,"Scarlet Tanager",0.0597317330539227,"66998","UF3-1",2024-05-17
"209",0,33,"Yellow-throated Warbler",0.0535733588039875,"66998","UF3-1",2024-05-17
"210",0,36,"Wood Thrush",0.17413142323494,"66998","UF3-1",2024-05-17
"211",0,36,"Kentucky Warbler",0.0884004533290863,"66998","UF3-1",2024-05-17
"212",0,36,"Worm-eating Warbler",0.0540618896484375,"66998","UF3-1",2024-05-17
"213",0,39,"Fish Crow",0.126067355275154,"66998","UF3-1",2024-05-17
